	GSM2692159	GSM2692160	GSM2692161	GSM2692162	GSM2692163	GSM2692164
RPS11	17.5823327872176	17.6815857980478	17.6440878679011	17.6589408261174	17.7785279986245	17.6440878679011
RPSAP9	17.5947862261832	17.5947862261832	17.6815857980478	17.7012602641092	17.6390723689907	17.6872056854301
UBC	17.6815857980478	17.6316770086642	17.6589408261174	17.5305036165889	17.6981516593732	17.6589408261174
RPS17	17.5667495530671	17.7785279986245	17.6495274448798	17.6495274448798	17.6178923113435	17.5009988612292
RPS10	17.7012602641092	17.7226590748448	17.8045869278232	17.6440878679011	17.4193681749104	17.3033074590826
LCNL1	17.7515948417947	17.5765168736714	17.6720471228347	17.3115305177216	17.5947862261832	17.6495274448798
RPS29	17.6440878679011	17.6981516593732	17.7515948417947	17.4239056292344	17.4121868434772	17.6042728989597
RPS16	17.6390723689907	17.5423193999521	17.6042728989597	17.5823327872176	17.5423193999521	17.5221585416212
TGFBR3L	17.6668687569169	17.5305036165889	17.5305036165889	17.3314859902965	17.6495274448798	17.7104750488182
NPM1	17.6146608471397	17.7012602641092	17.5765168736714	17.5009988612292	17.5667495530671	17.4443461680565
TPT1	17.4193681749104	17.4193681749104	17.3612316540283	17.6316770086642	17.7012602641092	17.7012602641092
RPS27A	17.4443461680565	17.4299135687898	17.5221585416212	17.5494167510469	17.5123468469127	17.6815857980478
RP11-356M20.3	17.6589408261174	17.5667495530671	17.5823327872176	17.6815857980478	17.2728135039272	17.190988185532
PRDX1	17.3672584762748	17.37945933757	17.4443461680565	17.5888392946518	17.5765168736714	17.5947862261832
PFN1	17.2151738921686	17.204794568768	17.3176616906751	17.8399951505781	17.5494167510469	17.7226590748448
RPL39	17.281092234815	17.3115305177216	17.37945933757	17.6178923113435	17.6146608471397	17.6316770086642
RPL35A	17.186074802081	17.3525301471896	17.3033074590826	17.5423193999521	17.6589408261174	17.7835847027945
TMSB4X	17.7104750488182	17.7835847027945	17.7226590748448	17.1435976409206	17.2959444075894	17.1387427720471
MALAT1	17.5765168736714	17.7364345625034	17.4789555685783	17.3228462490873	17.2506964574874	17.4007756763206
RPS8	17.4789555685783	17.4121868434772	17.5123468469127	17.6668687569169	17.3314859902965	17.3490643997337
LINC00950	17.4684992985507	17.3672584762748	17.4121868434772	17.3612316540283	17.4613248475573	17.5305036165889
ALDOA	17.5423193999521	17.4443461680565	17.4894973662167	17.2770951424179	17.4684992985507	17.3612316540283
RPS2P32	17.2292487600591	17.0990934955563	17.3115305177216	17.5765168736714	17.5221585416212	17.7721926463284
RPL28	17.2668043011884	17.2668043011884	17.3228462490873	17.5947862261832	17.5823327872176	17.4497545872448
GLYCTK-AS1	17.5494167510469	17.2866206566043	17.4497545872448	17.4684992985507	17.3672584762748	17.2770951424179
RP11-229P13.15	17.5123468469127	17.4684992985507	17.5423193999521	17.3400421038936	17.2220538713294	17.2709939277277
RPS6	17.2728135039272	17.2506964574874	17.2709939277277	17.5221585416212	17.4239056292344	17.5667495530671
RPS23	17.3033074590826	17.5494167510469	17.387954126662	17.2609103846665	17.4894973662167	17.2728135039272
TUBA1B	17.2770951424179	17.2728135039272	17.3490643997337	17.4497545872448	17.4789555685783	17.4299135687898
RPS21	17.2709939277277	17.4789555685783	17.281092234815	17.4299135687898	17.3959589842833	17.3959589842833
GNB2L1	17.5305036165889	17.5123468469127	17.5494167510469	17.2292487600591	17.2709939277277	17.1112405419253
HSPB1	17.133557095342	17.0541873457827	16.9569225772134	17.7607951768189	17.6815857980478	17.5765168736714
RPS14	17.4299135687898	17.4497545872448	17.4365221288134	17.387954126662	17.1974331203339	17.1247899312131
RP11-326C3.12	17.4239056292344	17.2151738921686	17.3525301471896	17.3959589842833	17.3033074590826	17.3176616906751
RPL6	17.1625114714631	17.3314859902965	17.2788335303037	17.3490643997337	17.2770951424179	17.4684992985507
PKD1	17.4894973662167	17.4064460330331	17.5009988612292	16.6399064439421	17.3228462490873	17.4613248475573
RPL35	17.2506964574874	17.387954126662	17.4239056292344	17.1593846461076	17.3400421038936	17.204794568768
PVT1	17.4613248475573	17.3490643997337	17.2866206566043	16.8801223663514	17.3525301471896	17.4064460330331
RPS12	17.387954126662	17.4613248475573	17.3672584762748	17.2393976600627	17.204794568768	17.073438951664
C12orf68	17.4007756763206	16.98598226704	17.2188706971667	17.2709939277277	17.3612316540283	17.4894973662167
RPL19	17.1974331203339	17.4365221288134	17.1740469452383	17.4193681749104	17.18114462793	17.2393976600627
