gene	mRNAs	cor	p.value
CTD-2366F13.1	A1BG	-0.387210032783809	0.00784886202935422
CTD-2366F13.1	A2M	-0.286141897524164	0.0538772523031662
CTD-2366F13.1	A2ML1	0.245124846703737	0.100606236369651
CTD-2366F13.1	A3GALT2	-0.268110848001251	0.0716217443809075
CTD-2366F13.1	A4GALT	-0.271691285073716	0.0677728035674617
CTD-2366F13.1	AAAS	0.00248307290100274	0.98693318458036
CTD-2366F13.1	AACS	0.297932755156859	0.0443261523539177
CTD-2366F13.1	AADAT	0.0332839271318755	0.826189874429912
CTD-2366F13.1	AAGAB	-0.0804198600789428	0.595221162965463
CTD-2366F13.1	AAK1	0.104231351633351	0.490598279981651
CTD-2366F13.1	AAMDC	-0.0226927519830896	0.881006648126866
CTD-2366F13.1	AAMP	0.222947084864862	0.136407399930677
CTD-2366F13.1	AANAT	0.0361916922637914	0.811270860516455
CTD-2366F13.1	AAR2	-0.267089577072568	0.0727507147704559
CTD-2366F13.1	AARD	0.0736826144963758	0.626507020949252
CTD-2366F13.1	AARS2	0.200242753357184	0.18210673753793
CTD-2366F13.1	AARSD1	0.00550078495285115	0.971057788317919
CTD-2366F13.1	AASDH	-0.173406415290355	0.2491200436793
CTD-2366F13.1	AASDHPPT	0.451213626724924	0.00164794031809736
CTD-2366F13.1	AASS	-0.0232324154099874	0.87819790748427
CTD-2366F13.1	AATF	-0.251742328931129	0.0914663957995147
CTD-2366F13.1	AATK	0.241047888769439	0.10657735650665
CTD-2366F13.1	ABAT	0.23144024597077	0.12171828067394
CTD-2366F13.1	ABCA1	0.0503337916510668	0.739741203267334
CTD-2366F13.1	ABCA10	0.184121821488602	0.220608033305816
CTD-2366F13.1	ABCA12	-0.0986221902937881	0.514354318730338
CTD-2366F13.1	ABCA13	-0.160183312988499	0.287599375435711
CTD-2366F13.1	ABCA2	0.0622214925338561	0.681225582782024
CTD-2366F13.1	ABCA3	0.325389198100332	0.027342279146716
CTD-2366F13.1	ABCA4	0.113693563187568	0.451852385020331
CTD-2366F13.1	ABCA5	-0.00895813670709981	0.952883523530803
CTD-2366F13.1	ABCA6	-0.146179451599405	0.332359294485359
CTD-2366F13.1	ABCA7	-0.136268029415706	0.366524828344995
CTD-2366F13.1	ABCA8	0.0432235520011238	0.775474170683852
CTD-2366F13.1	ABCA9	0.257171666389352	0.0844601357369566
CTD-2366F13.1	ABCB1	0.16176561625556	0.282801558750299
CTD-2366F13.1	ABCB10	0.00643923419274151	0.966122823171031
CTD-2366F13.1	ABCB4	-0.18878919268545	0.208924693233949
CTD-2366F13.1	ABCB6	-0.0223941364821461	0.882561450492694
CTD-2366F13.1	ABCB7	-0.152009277285013	0.313224174327868
CTD-2366F13.1	ABCB8	-0.179970320559712	0.231373611884996
CTD-2366F13.1	ABCB9	0.115666379711613	0.443990176511554
CTD-2366F13.1	ABCC1	-0.138876664138757	0.35733416642605
CTD-2366F13.1	ABCC10	-0.175083488703164	0.244500911579395
CTD-2366F13.1	ABCC11	0.301858726819847	0.0414706649476422
CTD-2366F13.1	ABCC12	0.184498840526985	0.21964783169991
CTD-2366F13.1	ABCC2	-0.0824204324502874	0.58606549849219
CTD-2366F13.1	ABCC3	-0.28605806372929	0.0539506652748792
CTD-2366F13.1	ABCC4	0.0934447872701956	0.536782681720623
CTD-2366F13.1	ABCC5	0.160094336386444	0.287870732816729
CTD-2366F13.1	ABCC6	0.0308965102621191	0.838484816554481
CTD-2366F13.1	ABCC8	0.472094956927223	0.00092499032161504
CTD-2366F13.1	ABCC9	0.225729795075231	0.131456059436082
CTD-2366F13.1	ABCD1	-0.192751442244844	0.199351803040269
CTD-2366F13.1	ABCD2	0.193513560996208	0.197546580318091
CTD-2366F13.1	ABCD3	-0.124146737292618	0.411066212228414
CTD-2366F13.1	ABCD4	-0.15989908554401	0.288466785407068
CTD-2366F13.1	ABCE1	-0.0192353682678918	0.89903385969022
CTD-2366F13.1	ABCF1	-0.263565349573257	0.0767549087178275
CTD-2366F13.1	ABCF2	-0.0422946925593891	0.780178073473959
CTD-2366F13.1	ABCF3	0.0420298097368647	0.781520918217889
CTD-2366F13.1	ABCG1	0.279846422941818	0.0596184644525724
CTD-2366F13.1	ABCG2	0.216623008670365	0.1481747342487
CTD-2366F13.1	ABCG4	0.314791857978665	0.0331084273415715
CTD-2366F13.1	ABCG5	0.0934390393709162	0.536807842645349
CTD-2366F13.1	ABCG8	0.209062503559814	0.163205343898416
CTD-2366F13.1	ABHD1	0.174597981313818	0.245832123604636
CTD-2366F13.1	ABHD10	0.253487682682947	0.0891666044946717
CTD-2366F13.1	ABHD11	0.16486116278566	0.273567608157521
CTD-2366F13.1	ABHD12	0.170321194919789	0.257770597053761
CTD-2366F13.1	ABHD12B	0.0497463497716631	0.742674108550166
CTD-2366F13.1	ABHD13	0.161204921441932	0.284495654855826
CTD-2366F13.1	ABHD14A	0.19066160272904	0.204361598363597
CTD-2366F13.1	ABHD14A-ACY1	0.0312341252369661	0.836743751782496
CTD-2366F13.1	ABHD14B	-0.150190205699422	0.319118182288785
CTD-2366F13.1	ABHD15	-0.223670811158835	0.135106489544535
CTD-2366F13.1	ABHD16A	-0.00589228640679499	0.96899888320001
CTD-2366F13.1	ABHD16B	-0.0898985353836481	0.552413983494972
CTD-2366F13.1	ABHD17A	-0.0261832200385495	0.862867148014441
CTD-2366F13.1	ABHD17B	0.128587548386865	0.394399744360986
CTD-2366F13.1	ABHD17C	0.15552682409569	0.302024508287521
CTD-2366F13.1	ABHD2	0.0793021449726934	0.600363690617632
CTD-2366F13.1	ABHD3	-0.00187890582404667	0.990112344873745
CTD-2366F13.1	ABHD4	-0.0744798834965182	0.622769240189323
