fromNode	toNode	weight	direction	fromAltName	toAltName
AC005754.8	RP3-523C21.2	0.0394791138056661	undirected	AC005754.8	RP3-523C21.2
AC005754.8	RP5-1177M21.1	0.177046197774711	undirected	AC005754.8	RP5-1177M21.1
AC005754.8	RP6-201G10.2	0.0402131784663962	undirected	AC005754.8	RP6-201G10.2
AC005754.8	SNHG8	0.0478893652134038	undirected	AC005754.8	SNHG8
AC009227.2	CTD-2135J3.3	0.0432213768345392	undirected	AC009227.2	CTD-2135J3.3
AC009227.2	LINC00928	0.0613959199067267	undirected	AC009227.2	LINC00928
AC009227.2	LINC00994	0.0973526738839392	undirected	AC009227.2	LINC00994
AC009227.2	RP11-284F21.7	0.0363574202396921	undirected	AC009227.2	RP11-284F21.7
AC009227.2	RP3-523C21.2	0.0261870239115356	undirected	AC009227.2	RP3-523C21.2
AC009227.2	XXbac-BPGBPG55C20.2	0.0571857821624124	undirected	AC009227.2	XXbac-BPGBPG55C20.2
AC021188.4	ADAMTS19-AS1	0.0564487646971344	undirected	AC021188.4	ADAMTS19-AS1
AC021188.4	AP000282.2	0.0242227900888319	undirected	AC021188.4	AP000282.2
AC021188.4	AP000569.9	0.0354089381976103	undirected	AC021188.4	AP000569.9
AC021188.4	CTB-131B5.5	0.0236158434781952	undirected	AC021188.4	CTB-131B5.5
AC021188.4	CTB-25B13.9	0.0268005413701788	undirected	AC021188.4	CTB-25B13.9
AC021188.4	CTB-75G16.3	0.0704574091592216	undirected	AC021188.4	CTB-75G16.3
AC021188.4	EPB41L4A-AS1	0.0409421734022784	undirected	AC021188.4	EPB41L4A-AS1
AC021188.4	FAM222A-AS1	0.0666010426396434	undirected	AC021188.4	FAM222A-AS1
AC021188.4	FGF14-IT1	0.030963169683953	undirected	AC021188.4	FGF14-IT1
AC021188.4	GDNF-AS1	0.0288025463964045	undirected	AC021188.4	GDNF-AS1
AC021188.4	INHBA-AS1	0.0322742038156448	undirected	AC021188.4	INHBA-AS1
AC021188.4	LINC00173	0.0667570657261688	undirected	AC021188.4	LINC00173
AC021188.4	MRPL23-AS1	0.0387337162116955	undirected	AC021188.4	MRPL23-AS1
AC021188.4	RP11-16N11.2	0.0275677584125419	undirected	AC021188.4	RP11-16N11.2
AC021188.4	RP11-229P13.23	0.0326445533134879	undirected	AC021188.4	RP11-229P13.23
AC021188.4	RP11-259K15.2	0.0228034036430397	undirected	AC021188.4	RP11-259K15.2
AC021188.4	RP11-307C19.2	0.0285391837262712	undirected	AC021188.4	RP11-307C19.2
AC021188.4	RP11-307O13.1	0.0275208555181069	undirected	AC021188.4	RP11-307O13.1
AC021188.4	RP11-546J1.1	0.0415403767894223	undirected	AC021188.4	RP11-546J1.1
AC021188.4	RP11-556N21.1	0.0547108169421269	undirected	AC021188.4	RP11-556N21.1
AC021188.4	RP11-598F7.4	0.0278707943012357	undirected	AC021188.4	RP11-598F7.4
AC021188.4	RP11-727A23.5	0.0338485740620874	undirected	AC021188.4	RP11-727A23.5
AC021188.4	RP5-1177M21.1	0.0510576889759529	undirected	AC021188.4	RP5-1177M21.1
AC021188.4	RP6-201G10.2	0.0307274671167251	undirected	AC021188.4	RP6-201G10.2
AC021188.4	SNHG8	0.0297451087167874	undirected	AC021188.4	SNHG8
AC068057.1	ADAMTS19-AS1	0.111799519539084	undirected	AC068057.1	ADAMTS19-AS1
AC068057.1	AP000569.9	0.0321374178626092	undirected	AC068057.1	AP000569.9
AC068057.1	C17orf102	0.0310214930303553	undirected	AC068057.1	C17orf102
AC068057.1	CBR3-AS1	0.0314278938848092	undirected	AC068057.1	CBR3-AS1
AC068057.1	CTA-254O6.1	0.0415813606401869	undirected	AC068057.1	CTA-254O6.1
AC068057.1	CTB-131B5.5	0.0246494928922863	undirected	AC068057.1	CTB-131B5.5
AC068057.1	CTB-25B13.9	0.0445028272172662	undirected	AC068057.1	CTB-25B13.9
AC068057.1	CTB-33O18.3	0.0215154859262015	undirected	AC068057.1	CTB-33O18.3
AC068057.1	CTB-75G16.3	0.113404327348766	undirected	AC068057.1	CTB-75G16.3
AC068057.1	CTD-2366F13.1	0.0264709483396301	undirected	AC068057.1	CTD-2366F13.1
AC068057.1	CTD-2523D13.2	0.0277471507766652	undirected	AC068057.1	CTD-2523D13.2
AC068057.1	FAM222A-AS1	0.107531088129283	undirected	AC068057.1	FAM222A-AS1
AC068057.1	FGF14-IT1	0.0489044451338461	undirected	AC068057.1	FGF14-IT1
AC068057.1	GDNF-AS1	0.0218796551118642	undirected	AC068057.1	GDNF-AS1
AC068057.1	INHBA-AS1	0.0971870695435933	undirected	AC068057.1	INHBA-AS1
AC068057.1	LINC00173	0.0903404790728874	undirected	AC068057.1	LINC00173
AC068057.1	LINC00870	0.0303594084272404	undirected	AC068057.1	LINC00870
AC068057.1	LINC01013	0.030308026139035	undirected	AC068057.1	LINC01013
AC068057.1	MRPL23-AS1	0.0583576897029785	undirected	AC068057.1	MRPL23-AS1
AC068057.1	RP11-307O13.1	0.0531982020068719	undirected	AC068057.1	RP11-307O13.1
AC068057.1	RP11-395N3.2	0.02179031036478	undirected	AC068057.1	RP11-395N3.2
AC068057.1	RP11-546J1.1	0.034933761925349	undirected	AC068057.1	RP11-546J1.1
AC068057.1	RP11-556N21.1	0.110791276437021	undirected	AC068057.1	RP11-556N21.1
